filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B
y'wande_1.jpg,136.94392386732585,128.49935756714876,136.20163997933884,0.22981208858524987,0.15277548191548096,0.9298954572582926,0.3603328074506724,0.9926034420369024,0.1298729877271309,14.604832365366795,0.2290109518566934,0.15080627074432884,0.9308903842019017,0.36742374415933127,0.9925793322357084,0.1350342447471243,14.517347207512785,0.253112301265624,0.16295304820796414,0.925788465048011,0.3510647751612298,0.9921132385069382,0.12328370620823309,15.056935090945267
y'wande_10.jpg,144.87501216949752,137.43834108476025,141.14847936858132,0.23516312273854684,0.16356975425478826,0.9244456285278481,0.338124363170845,0.9935171047137169,0.11435554643595963,15.656166200172372,0.239466479766784,0.16758643748608226,0.9224133038014382,0.3292866738303901,0.9936169194800043,0.10846403193299155,15.775555364380779,0.24072639336106932,0.16546379146026807,0.9237149095045654,0.3412200627746721,0.9939052642084544,0.11645611918140165,15.711179046069212
y'wande_11.jpg,137.8921431055946,130.59945147737258,134.34485825827474,0.19304809224890113,0.14888805282469286,0.9294222739629925,0.31185874482742976,0.9945790447193633,0.0972817631393289,16.29657552831544,0.1750981350295115,0.13774989341717145,0.9344350759470341,0.31229007491131444,0.9950442501079904,0.09754859198746949,16.218569966189897,0.19097776227534194,0.15027380490954376,0.9285235077465581,0.2981223085494643,0.9950678666606242,0.08890464744010099,16.494878715222704
y'wande_12.jpg,151.3248439330697,143.8528293424136,144.31552865956357,0.22213713864245613,0.15780135866864395,0.9264285016878366,0.34533732583117077,0.9934025898467461,0.1192907445073699,15.014109475624057,0.2167256652039437,0.15374818437680915,0.928321149714552,0.32835129784108164,0.9934625930914669,0.10784243180882078,15.803873817754102,0.23285930043299793,0.16496703390728995,0.923295234919919,0.33705313749598587,0.992569910262071,0.11364677832810768,15.360389077222141
y'wande_14.jpg,134.00869924392208,128.98732654144698,137.85364995240187,0.3952305609811997,0.21184393195243625,0.9090670761178619,0.3440460928576584,0.988060105197316,0.11840190473759908,15.605908107911123,0.4394892075927115,0.22700245787243054,0.9034619974544689,0.3390195983538221,0.9863843946340841,0.11497322385595281,15.908535106643711,0.4547511945763917,0.2332413071020522,0.9012028096179522,0.3438676889750657,0.9850773678443763,0.11828121636718684,16.0936721210554
y'wande_16.jpg,135.276251281488,127.20262819456649,131.59088793387522,0.22175473366537607,0.15337713700801092,0.9289718565014133,0.3271463289369322,0.9941615412828817,0.10705314245006543,15.733529829076343,0.2117012614640184,0.14829600898656475,0.9310447333435624,0.33107454216812876,0.994068791067886,0.10963782694739502,15.636446928160554,0.23237360155132936,0.1637588514026512,0.9239902033365388,0.3152250507493952,0.9930872503632536,0.09939487771378729,16.424210958029676
y'wande_17.jpg,145.17666770840935,130.75728861200574,127.44062097845215,0.2718249887465506,0.16486822171074847,0.9264545429946289,0.3452128236937886,0.9921262137585696,0.11919114239066422,15.293620561019221,0.3013188444487575,0.19511786824420474,0.9113154532108333,0.2962769453683904,0.9893121811054633,0.08781471363695581,16.63167899079884,0.27011004819236745,0.1818298909651978,0.916786186957453,0.3443788507869604,0.9901951348277563,0.11863000097600201,15.559745029149402
y'wande_19.jpg,152.62448916857227,142.05438059748974,143.5431256329097,0.26162697494241116,0.17506819944338897,0.9197354066256728,0.3341873190747166,0.9928507919627433,0.1117163424870257,15.570376223554696,0.2699922784130446,0.16956830764315475,0.9235033372555543,0.3410473419132891,0.9923761571139862,0.11634889710171095,15.331486172337074,0.2578939438705097,0.16442602277610616,0.9256826394954314,0.33615322058189756,0.9916979494283049,0.11302304057675938,15.808660824862436
y'wande_2.jpg,146.580405983299,139.9889737529429,150.2568818054738,0.12782610358188526,0.08479919607583526,0.9611698269475428,0.376959632640634,0.9960542972691625,0.14211191612689858,13.487810790790498,0.14299022461094218,0.08920833499591342,0.9595980176487751,0.3725432367222216,0.9956884476826874,0.13880313666540867,13.685019697459357,0.1537308625151023,0.09559514440463197,0.9567898596212527,0.3715635851474847,0.9950096819730302,0.1380755088589989,13.828602448315307
y'wande_20.jpg,146.0562109375,123.88239090236686,132.62652898483728,0.21762691761782432,0.16710492285399986,0.9208600069444709,0.33789273684751664,0.9938290652088488,0.11420553415257738,15.290651067717816,0.20930777208484347,0.16224688763402562,0.9229653316121142,0.3411228801509657,0.9937153449993589,0.11640358466063087,15.25951694510241,0.2167031503601325,0.16716801065289122,0.92070237375723,0.32741352112123734,0.9936328849371079,0.10723489111875399,15.851533209418655
