filename,lbp_R_0,lbp_G_0,lbp_B_0,lbp_R_1,lbp_G_1,lbp_B_1,lbp_R_2,lbp_G_2,lbp_B_2,lbp_R_3,lbp_G_3,lbp_B_3,lbp_R_4,lbp_G_4,lbp_B_4,lbp_R_5,lbp_G_5,lbp_B_5,lbp_R_6,lbp_G_6,lbp_B_6,lbp_R_7,lbp_G_7,lbp_B_7,lbp_R_8,lbp_G_8,lbp_B_8,lbp_R_9,lbp_G_9,lbp_B_9
tag.txt,0.03094374999998066,0.02359999999998525,0.02471874999998455,0.045412499999971614,0.03809374999997619,0.03914374999997554,0.06457499999995964,0.05668749999996457,0.05915624999996303,0.16876874999989452,0.16936249999989414,0.17452499999989093,0.24759999999984525,0.3003187499998123,0.28523124999982175,0.18632499999988356,0.20882499999986948,0.19784999999987635,0.09197499999994252,0.07901874999995061,0.08283124999994823,0.0521499999999674,0.03772499999997642,0.0440062499999725,0.0436749999999727,0.03333749999997916,0.035862499999977586,0.06857499999995714,0.053031249999966855,0.05667499999996458
tag.txt,0.03150624999998031,0.022487499999985946,0.023437499999985352,0.04420624999997237,0.040006249999975,0.040987499999974385,0.06248749999996094,0.052793749999967006,0.05579999999996513,0.1652812499998967,0.16194999999989879,0.1665999999998959,0.26072499999983706,0.32054999999979966,0.3089687499998069,0.18677499999988326,0.20698749999987062,0.19530624999987795,0.08773749999994516,0.0740687499999537,0.07718749999995175,0.05178749999996763,0.03640624999997725,0.04300624999997312,0.04171249999997393,0.031843749999980096,0.03366249999997896,0.06778124999995763,0.05290624999996693,0.0550437499999656
tag.txt,0.031218749999980488,0.024887499999984446,0.025299999999984186,0.044843749999971975,0.04026874999997483,0.04119999999997425,0.06486249999995947,0.056218749999964866,0.058593749999963377,0.16994374999989378,0.16809999999989494,0.17322499999989174,0.24772499999984518,0.29526249999981546,0.2817687499998239,0.18632499999988356,0.20789374999987006,0.19824999999987608,0.09170624999994269,0.07764999999995147,0.08163124999994897,0.05188749999996757,0.039256249999975464,0.045431249999971605,0.043443749999972844,0.0340874999999787,0.036018749999977485,0.06804374999995748,0.056374999999964766,0.058581249999963385
tag.txt,0.031674999999980205,0.024249999999984843,0.02474999999998453,0.04511249999997181,0.041243749999974225,0.04257499999997339,0.06261874999996087,0.053806249999966374,0.05571249999996518,0.16457499999989714,0.15928749999990044,0.161593749999899,0.2638374999998351,0.3170249999998019,0.30889374999980695,0.1857749999998839,0.2044812499998722,0.1974187499998766,0.08649374999994594,0.0753749999999529,0.07614374999995241,0.05099374999996813,0.03826874999997608,0.042868749999973206,0.041481249999974074,0.03195624999998003,0.03388749999997882,0.06743749999995785,0.054306249999966055,0.0561562499999649
tag.txt,0.031074999999980576,0.023543749999985285,0.024474999999984703,0.04451249999997218,0.03751874999997655,0.04001249999997499,0.06598749999995876,0.05668124999996457,0.05846249999996346,0.16952499999989404,0.16981249999989387,0.17544374999989035,0.24634374999984604,0.29991249999981257,0.28374999999982264,0.1852874999998842,0.2089374999998694,0.19758749999987651,0.09145624999994284,0.07803749999995123,0.0828749999999482,0.05239999999996725,0.038424999999975985,0.04410624999997243,0.04426249999997234,0.03251249999997968,0.035593749999977754,0.06914999999995679,0.05461874999996586,0.05769374999996394
tag.txt,0.031174999999980517,0.02279999999998575,0.023556249999985276,0.04461874999997211,0.039431249999975354,0.040806249999974495,0.061581249999961514,0.052849999999966965,0.054993749999965626,0.1658937499998963,0.1607999999998995,0.1659374999998963,0.26256874999983587,0.3225937499997984,0.3121562499998049,0.18630624999988354,0.20635624999987104,0.1956749999998777,0.08660624999994587,0.07464374999995335,0.07624999999995234,0.05211874999996743,0.036693749999977064,0.042524999999973424,0.04188749999997382,0.031668749999980206,0.03409999999997869,0.06724374999995797,0.0521624999999674,0.05399999999996625
tag.txt,0.03127499999998045,0.024643749999984598,0.025512499999984055,0.04496874999997189,0.03933124999997542,0.0409499999999744,0.06408749999995994,0.05726249999996421,0.05918124999996301,0.17076874999989328,0.16752499999989529,0.17301874999989186,0.24748124999984533,0.29561249999981526,0.28212499999982366,0.18715624999988303,0.20693749999987066,0.19686874999987697,0.09032499999994355,0.07879374999995076,0.08249374999994843,0.05188749999996757,0.0390374999999756,0.04427499999997233,0.04366249999997271,0.034037499999978724,0.036699999999977063,0.06838749999995726,0.05681874999996449,0.0588749999999632
tag.txt,0.030993749999980627,0.023768749999985146,0.024506249999984683,0.04501249999997187,0.04146249999997408,0.042618749999973365,0.062399999999961,0.053374999999966644,0.055349999999965406,0.16488124999989695,0.16057499999989963,0.16278124999989826,0.265599999999834,0.31607499999980243,0.3093937499998066,0.18585624999988384,0.20566249999987146,0.19684999999987696,0.08605624999994621,0.07554374999995278,0.07576874999995264,0.05091249999996818,0.037462499999976584,0.042362499999973525,0.04118749999997426,0.03248749999997969,0.03451874999997843,0.06709999999995807,0.05358749999996651,0.055849999999965094
tag.txt,0.01906874999998808,0.010443749999993472,0.012612499999992118,0.03284374999997947,0.02169999999998644,0.02988749999998132,0.05058749999996838,0.03374999999997891,0.04590624999997131,0.1757124999998902,0.17688124999988944,0.18139999999988662,0.28536874999982165,0.3714624999997678,0.3239812499997975,0.2137687499998664,0.24328749999984794,0.23531249999985293,0.0899312499999438,0.06609374999995869,0.07699999999995187,0.04083749999997448,0.02398124999998501,0.03054374999998091,0.038581249999975885,0.02140624999998662,0.02488124999998445,0.053299999999966687,0.030993749999980627,0.03847499999997595
tag.txt,0.016568749999989644,0.009268749999994207,0.013181249999991762,0.029912499999981305,0.021081249999986826,0.03111874999998055,0.04818124999996989,0.031331249999980416,0.04341249999997287,0.17305624999989183,0.16372499999989767,0.16748124999989533,0.3188437499998007,0.4094437499997441,0.3473187499997829,0.21445624999986596,0.23814999999985115,0.2295999999998565,0.08084374999994948,0.05957499999996276,0.0732812499999542,0.038262499999976086,0.020981249999986885,0.030806249999980745,0.03307499999997933,0.01825624999998859,0.024474999999984703,0.04679999999997075,0.028187499999982383,0.03932499999997542
