filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,entropy_B
tag.txt,10.89899375,14.33291875,14.00533125,7.007373419375,2.2559687856235904,0.3774103824149416,0.1352632911717059,1.2582120420568727e-16,2.122308187915553,6.82025506,2.22376992499861,0.3806105069181331,0.1326365770310842,0.0,2.1355314302124855,7.0920614560937505,2.274907995154828,0.3743466090408577,0.13270035390608412,4.1689239077293435e-17,2.1345501924565684
tag.txt,37.2419,42.24439375,45.5293875,5.148005584960937,1.8189156046863633,0.45739368770875877,0.1364725200779544,0.0,2.122832345685118,4.748439519374999,1.7311084578114182,0.4643918952877854,0.1472921285154409,0.0,2.07794482509935,5.030431869960937,1.7970444868738769,0.4536059532205866,0.1390576210154512,0.0,2.113892934915488
tag.txt,55.09304375,60.554,66.29410625,4.478850882460938,1.6619412115614614,0.4653964803127183,0.1552754313279309,0.0,2.0528935093161023,4.176621230898436,1.588687726483382,0.47462974203022995,0.16623372257791721,2.444613334985095e-16,2.0120442203449516,4.4085949310937504,1.646316040936471,0.4656903028518491,0.1575147453904281,2.643809233198502e-17,2.046274465136553
tag.txt,12.2310625,15.4054375,15.389375,6.7617039693750005,2.225567289061109,0.3769858308981962,0.1285748051560893,2.1347751603457898e-17,2.1492815571286688,6.560777805898438,2.190704927264256,0.3798775877363651,0.12821127562483972,6.501653299568144e-17,2.1520372378615686,6.745499230898438,2.2244943214829846,0.3763391350363853,0.12654560257796682,8.549351245400669e-17,2.1597761066259533
tag.txt,138.0490625,148.59984375,159.9631,5.99704336,2.068603704998707,0.3980764900098661,0.12534420140609334,4.5335834854513174e-17,2.155911418862728,5.793031449960939,2.0277174378893577,0.4031866001176384,0.12610802171859237,6.919082798341514e-17,2.1515514537628246,6.13465966109375,2.0939600467174415,0.3965359531920291,0.12282551398422148,1.120611265166695e-16,2.167854531016271
tag.txt,175.5186375,185.10350625,191.1690625,4.363638467148437,1.6345302500771033,0.5010015800496496,0.14963607124981296,7.972179842582379e-17,2.0488419372490974,4.485316263710938,1.6781715424989512,0.4853944886849027,0.15106041335918616,0.0,2.0439103592924384,5.9625984375,2.0645265156237094,0.40016562818091606,0.12548117335921816,1.136664875015124e-16,2.158853159990841
tag.txt,166.72635,174.79479375,186.01538125,3.6003882621484378,1.4506071623428434,0.49545371656506554,0.18278825320289652,0.0,1.9378882386394294,3.4117749402734376,1.398527663905376,0.5034429668897729,0.19398875914038252,0.0,1.9010341637921389,4.352929429335937,1.6263098197646086,0.47329305491536533,0.15937593656230079,0.0,2.0356783231238076
tag.txt,129.03319375,134.56671875,146.055775,5.676066288085938,1.9724251886706425,0.421562317789374,0.1253504521873433,0.0,2.15841294215759,5.213056862460937,1.8618342091394613,0.44215245437348544,0.13192586898421008,0.0,2.1281513882067644,5.796170631210938,1.988769233748757,0.42394394602173696,0.12355340015609555,0.0,2.169007005906369
tag.txt,132.48643125,135.53176875,137.06301875,5.304605156210938,1.8336171373426038,0.44174183157321245,0.13609591890607986,1.2051016694146627e-16,2.1388305013344864,5.214406697499999,1.8079071587488702,0.44594560850651854,0.13947106609357565,0.0,2.1256088444183696,5.359613245273437,1.8465285239832208,0.43979162559832957,0.1349732321092063,1.438681767853859e-16,2.1433706653454005
tag.txt,130.69806875,134.0735875,135.83433125,5.286179769375001,1.8279649474988575,0.442934951678002,0.13684646890607896,9.657600637811179e-17,2.136630702353733,5.183611421523438,1.79996116804575,0.44732023761509626,0.14058201273419926,0.0,2.1221022222270394,5.341572907773437,1.8421232994519738,0.4404914076982464,0.1356663635154554,1.441109182656294e-16,2.141687447398887
tag.txt,78.924,80.8196375,80.2248875,5.44780624,1.878533664998826,0.4433193299190502,0.12848956195296438,4.756630155215151e-17,2.1628630105081657,5.114544299960938,1.8008292836707493,0.4501897848782063,0.13598716531233002,1.7182042251009628e-16,2.1317398481117302,5.5042174298437505,1.8954630865613153,0.4374659060436874,0.1272742824998409,1.1830481734174803e-16,2.169393143621459
tag.txt,95.4680125,96.0386875,96.63270625,5.072972089023437,1.7907894525770058,0.44848556696153596,0.13859489710920175,9.858457527782623e-17,2.1246545944997193,4.86374523109375,1.7395988009364127,0.45463564968005116,0.1444743668748194,7.55120151439069e-17,2.1019238996980976,5.1597984375,1.8129472499988668,0.44410145084187286,0.1372773807029534,1.9550318350325394e-16,2.131644264956806
tag.txt,140.748,144.056175,145.38485625,5.047720265585938,1.777568223905139,0.44936779387682885,0.14195924304669755,1.235385727396077e-16,2.1175238650584545,4.93548847984375,1.747251033123908,0.4542624971287008,0.14598298390606754,0.0,2.1018032136560327,5.1681287975,1.804381513123872,0.44589834339017287,0.1399117664060751,0.0,2.1265724491440503
tag.txt,121.08341875,124.56734375,126.58581875,5.018076202773438,1.7675820980457702,0.4513299138408606,0.14352103132794558,7.434176083488408e-17,2.1123670260155256,4.883887726523437,1.7320276257801672,0.4569817807410156,0.14750065023419065,7.535613811165754e-17,2.097498479450135,5.035545092773438,1.7703681699207685,0.4512631036007904,0.1429435235935713,0.0,2.115849320654956
tag.txt,59.9468,61.4214625,59.34241875,5.779994124375,1.9369845012487896,0.4555906009239538,0.1226434018748467,1.15448028780236e-16,2.184780117116659,5.273410468710938,1.8293569018738567,0.4606966084085071,0.13097775976546128,4.834643133439651e-17,2.1484140067159334,5.980074979843749,1.9862693184362588,0.4440650417366766,0.11986762843735016,1.1350027298099004e-16,2.1988314017024875
tag.txt,123.1869125,123.19311875,125.8156,4.9018703693750005,1.7427415106239108,0.45459837657655516,0.14602691687481748,2.2565336432939656e-16,2.102350477437733,4.76672146,1.7066136574989332,0.4604497766078134,0.15075293031231157,1.7797883791212522e-16,2.084989666993258,4.983709593593749,1.761696862655149,0.4519819543037401,0.14425470187481967,0.0,2.1100486438598747
