filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B
0001.jpg,179.973876953125,112.05908203125,73.95556640625,6.9659312799193795,1.9024490583270348,0.4237312106997067,0.12118511086310188,0.690536231396101,0.01468947477080969,26.652617552519125,6.820441428886371,1.9063474348072562,0.425056067865907,0.1287293600750747,0.4860317008887338,0.01657187120773799,25.538743974416988,6.640314980158727,1.908225269274376,0.419199478510518,0.1402899126733165,0.4417246267282533,0.019684290771598185,24.560198230270014
0002.jpg,160.59033203125,71.460205078125,71.023681640625,2.2084032108213654,0.9523484741118671,0.6272058981948252,0.2531677388207358,0.6035865576628288,0.06445903076556865,18.8555285858329,2.010790658856135,0.8993134290753337,0.6472850886909012,0.3019314384968314,0.5747547033590081,0.09167339177805871,17.66201879879083,1.3967535509574203,0.7567190649407913,0.6798415613189335,0.3237143238221559,0.3802866992516752,0.10510650277354751,15.726878244380888
0003.jpg,111.34130859375,112.03955078125,43.3203125,14.35649230757118,2.7850814515621067,0.36993528698035394,0.12065321399802419,0.5054729472013411,0.014881170593896594,27.427365265765307,12.66879940633661,2.6579182020030236,0.3715907230245701,0.1277381073627049,0.36950355742214447,0.016770215018741895,26.148715925213327,6.910728064373899,1.9128243890148657,0.4420369594813749,0.1812362418111365,0.05548176573450904,0.03310393645731086,21.2694884285374
0004.jpg,139.75244140625,79.570068359375,50.632568359375,15.494170642794153,3.028241331254724,0.29263329927711845,0.08299318026004486,0.4321635206936546,0.006908466172629758,29.64585513215659,12.425434815129751,2.6962445279037546,0.3209852700124505,0.10688724047424947,0.22496319626470404,0.01144926667887689,27.204809140008344,10.017756755479969,2.3792950050390527,0.3641015054318744,0.1461503444290211,0.16158186913089673,0.02142110068719095,24.232499190114293
0005.jpg,114.591552734375,55.108642578125,16.405517578125,1.2923221371882083,0.7083057760141094,0.6979994558894245,0.2681398476547017,0.6610212195401738,0.07201972567630746,17.461911036511072,1.4331262597631647,0.7432622354497354,0.6934424737689793,0.268219089519184,0.7590328924061289,0.07207395330160937,17.57125196872069,0.6596444712144118,0.5413133424666163,0.7411764416414713,0.4489701979656342,0.13953195854133227,0.2016462268502655,10.29776036855699
0006.jpg,160.64111328125,102.784912109375,89.555908203125,4.9585813492063515,1.5129814657344425,0.5069804767908821,0.1451073100125139,0.7106969124922558,0.021140279502701517,24.865714556906283,6.763227513227511,1.7047371031746033,0.5037576387194224,0.15316175669921983,0.7962177484481456,0.023581042576635076,25.39624928728643,5.176438688901488,1.5370793572058459,0.5121152694757505,0.15640186475631668,0.6813445211166355,0.024551045020940576,24.169246585584972
0007.jpg,160.14111328125,85.916015625,45.612548828125,10.422343474426809,2.333843143738978,0.3842570746971669,0.12409050371994292,0.6723387720049161,0.015431763795776812,27.46789144813143,7.676215277777779,2.0389719545225495,0.4080110709848469,0.11771878043027562,0.4898172341077962,0.01389285418267766,26.215370254525347,4.857710734756862,1.64379507590073,0.4516081840620094,0.17220471143449984,0.26628257997392013,0.02968077445233697,21.826530031702216
0008.jpg,112.16748046875,66.302490234375,60.339599609375,6.90330431941295,1.8697217891786349,0.4416490510701851,0.11047074509166295,0.7163626470576464,0.012230281912822558,27.093932617790042,5.5018197672587545,1.5551923894557822,0.5258219228312416,0.1635193473996737,0.6613804668158455,0.02678089549337405,24.00227809834976,4.088420611300076,1.4363573554421776,0.5074439042996096,0.15654541109218184,0.6065406110772499,0.024543106858677173,23.38485951284568
0009.jpg,155.891845703125,153.7734375,63.825927734375,5.126877834467118,1.495519967246158,0.5292850898286114,0.1507708844645383,0.6794957863980587,0.02359947295736462,24.630276130199277,6.362668099647266,1.638142872889897,0.5200305919608571,0.13597891291544295,0.7212281850520146,0.019247330197514376,25.907916147166617,3.54448046579743,1.2762847615898212,0.5514101158303514,0.17885291713761034,0.6141248075010513,0.03288223612773423,22.397784367627672
0010.jpg,83.781494140625,64.962890625,88.406005859375,6.073085947341898,1.6287261432350717,0.5093935404707548,0.18329274844254378,0.7029176663308605,0.033750143911049225,24.645421277423623,5.160653265936003,1.3740413989669942,0.5772528968798751,0.24845452275710334,0.694581735977584,0.06187401165321052,22.173362692198467,5.389901620370374,1.4731286611866978,0.5330096801623982,0.16141293855109218,0.8045726669940632,0.026149021199183775,25.044535743789623
