filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,entropy_B
y'wande_9.jpg,136.94392386732585,128.49935756714876,136.20163997933884,6.399635243287252,2.115546410922487,0.40477724321871666,0.11945841670047898,6.583000089278396e-17,2.1955583464872865,6.370305656898829,2.1089330717117662,0.4058662604142825,0.11969616728055121,0.0,2.1943892174804307,6.439140756663575,2.1270145296786414,0.4018552059530019,0.11950626125848716,0.0,2.1954163291737605
y'wande_9.jpg,144.87501216949752,137.43834108476025,141.14847936858132,6.042398201308782,2.0465876872327144,0.4124891758174455,0.12424097245813143,1.3549610019177837e-16,2.1717045897762395,6.032147093042783,2.043718119155003,0.41309255351942015,0.12437139674407507,1.1300931935096273e-16,2.171280921637296,6.061062910529805,2.050296184637871,0.41202976811300374,0.12394537088701744,0.0,2.173310999035167
y'wande_9.jpg,137.8921431055946,130.59945147737258,134.34485825827474,6.08157125613326,2.062153591398312,0.40764840236408534,0.12483448895358026,2.0258851740097947e-16,2.1688403460049117,6.082206814613611,2.06214070291476,0.4075914682711393,0.12490725653034003,9.003463662665653e-17,2.168559578449665,6.1809260129561,2.085639609729334,0.4030623720494524,0.12440462684115168,6.698455844354556e-17,2.171539102660519
y'wande_9.jpg,151.3248439330697,143.8528293424136,144.31552865956357,6.352323702835652,2.1151708023586546,0.40149190809937313,0.12190096390082616,0.0,2.1852965802618782,6.328602259199534,2.109127061812665,0.4027043518531198,0.12202548145403512,0.0,2.184687962531626,6.39589696084942,2.1260464715880225,0.39932090781273816,0.12158491753709201,6.58492362853788e-17,2.186903918061315
y'wande_9.jpg,134.00869924392208,128.98732654144698,137.85364995240187,6.335513035656637,2.0883804783234923,0.41431298769509756,0.1185390701576225,6.616229741102988e-17,2.2000963199725456,6.246296026880839,2.0678204555340165,0.41822238257688843,0.11928356513649989,2.221104210769588e-17,2.196392564153386,6.319094478306324,2.088009850556443,0.4133055651357187,0.118652976790887,0.0,2.199235113022377
y'wande_9.jpg,135.276251281488,127.20262819456649,131.59088793387522,6.034885291190263,2.038359956573645,0.4158075454776702,0.12245737632776496,0.0,2.1772979082017057,5.9642623553185885,2.0194693724390724,0.4202561144142567,0.12313328751297167,1.3638075717897842e-16,2.174299235089274,6.012473006908011,2.032218383898797,0.41750708038645273,0.12254128925988403,0.0,2.17710990987105
y'wande_9.jpg,145.17666770840935,130.75728861200574,127.44062097845215,6.216195953061013,2.0733968278987556,0.41230383969161905,0.12003997590976515,6.679425700989318e-17,2.190235276917252,6.172761893797725,2.055729976347828,0.41865776154554357,0.1199443923107674,0.0,2.192032000632481,6.164471732593891,2.053432227497206,0.41958333804692277,0.11986178498012472,0.0,2.1925608424334935
y'wande_9.jpg,152.62448916857227,142.05438059748974,143.5431256329097,6.048168950547821,2.0462434632283895,0.412640904176761,0.12312000643283304,0.0,2.174994352704694,5.969992873941739,2.0197439347942776,0.4206259136237566,0.12344540787071613,1.3631528640797852e-16,2.1743466017082027,5.926440884760361,2.006949406141116,0.42428302081625474,0.12361294948751896,1.824203249135773e-16,2.173704168422706
y'wande_9.jpg,146.580405983299,139.9889737529429,150.2568818054738,4.927000792224932,1.9013172666866098,0.40446655971078604,0.18218468040976,1.3754714742070568e-16,1.9306662583962308,4.90711103033007,1.8990558346228854,0.4042769215039202,0.18272615725834757,1.2529602017883812e-17,1.9283046844816387,4.925211551243775,1.9013198252450718,0.4046570783578274,0.18247303895627381,7.503934328520314e-17,1.9295639567315215
y'wande_9.jpg,146.0562109375,123.88239090236686,132.62652898483728,6.3462520718399915,2.106994733404732,0.4046886043740775,0.12009984207171466,0.0,2.190618447443178,6.273420313563376,2.0854760390691536,0.41116663160704087,0.12023110941344783,1.1081486665855607e-16,2.1912186585341322,6.374111295416719,2.109319028812182,0.40623537992785475,0.11941629244638648,0.0,2.1953917685955178
y'wande_9.jpg,152.16792455537237,137.63727891818453,145.80030759480326,5.849184898217946,2.0150080538943174,0.4139625277822144,0.12709375269506998,1.3771580705678522e-16,2.156324289514782,5.8337325706672996,2.012591784742098,0.4140277342125314,0.12749640841811713,0.0,2.1543155599201596,5.8913688274540466,2.024710618805765,0.41223694073103884,0.12658115180174492,0.0,2.1587771509509235
